DateTime,Players,Final Price,DateTimeStr
1/1/2017 0:00,30547,604.5,1/1/2017
1/2/2017 0:00,34504,1209,1/2/2017
1/3/2017 0:00,30129,1209,1/3/2017
1/4/2017 0:00,28738,1209,1/4/2017
1/5/2017 0:00,28180,1209,1/5/2017
1/6/2017 0:00,30472,1209,1/6/2017
1/7/2017 0:00,33358,1209,1/7/2017
1/8/2017 0:00,31922,1209,1/8/2017
1/9/2017 0:00,25360,1209,1/9/2017
1/10/2017 0:00,24998,1209,1/10/2017
1/11/2017 0:00,24388,1209,1/11/2017
1/12/2017 0:00,24502,1209,1/12/2017
1/13/2017 0:00,27802,1209,1/13/2017
1/14/2017 0:00,31686,1209,1/14/2017
1/15/2017 0:00,31564,1209,1/15/2017
1/16/2017 0:00,28007,1209,1/16/2017
1/17/2017 0:00,25030,1209,1/17/2017
1/18/2017 0:00,25516,1209,1/18/2017
1/19/2017 0:00,24352,1209,1/19/2017
1/20/2017 0:00,26784,1209,1/20/2017
1/21/2017 0:00,30426,1209,1/21/2017
1/22/2017 0:00,30774,1209,1/22/2017
1/23/2017 0:00,24019,1209,1/23/2017
1/24/2017 0:00,23687,1209,1/24/2017
1/25/2017 0:00,23785,1209,1/25/2017
1/26/2017 0:00,23197,1209,1/26/2017
1/27/2017 0:00,25771,1209,1/27/2017
1/28/2017 0:00,29299,1209,1/28/2017
1/29/2017 0:00,30507,1209,1/29/2017
1/30/2017 0:00,24139,1209,1/30/2017
1/31/2017 0:00,23790,1209,1/31/2017
2/1/2017 0:00,23820,1209,2/1/2017
2/2/2017 0:00,27697,604.5,2/2/2017
2/3/2017 0:00,42394,604.5,2/3/2017
2/4/2017 0:00,59199,604.5,2/4/2017
2/5/2017 0:00,65010,604.5,2/5/2017
2/6/2017 0:00,41778,1209,2/6/2017
2/7/2017 0:00,46259,1209,2/7/2017
2/8/2017 0:00,52115,1209,2/8/2017
2/9/2017 0:00,43122,1209,2/9/2017
2/10/2017 0:00,48865,1209,2/10/2017
2/11/2017 0:00,54908,1209,2/11/2017
2/12/2017 0:00,52661,1209,2/12/2017
2/13/2017 0:00,39276,1209,2/13/2017
2/14/2017 0:00,37869,1209,2/14/2017
2/15/2017 0:00,38708,1209,2/15/2017
2/16/2017 0:00,36699,1209,2/16/2017
2/17/2017 0:00,41646,1209,2/17/2017
2/18/2017 0:00,48737,1209,2/18/2017
2/19/2017 0:00,44002,1209,2/19/2017
2/20/2017 0:00,36401,1209,2/20/2017
2/21/2017 0:00,35515,1209,2/21/2017
2/22/2017 0:00,35279,449,2/22/2017
2/23/2017 0:00,32482,449,2/23/2017
2/24/2017 0:00,36744,449,2/24/2017
2/25/2017 0:00,44197,449,2/25/2017
2/26/2017 0:00,43672,449,2/26/2017
2/27/2017 0:00,35329,449,2/27/2017
2/28/2017 0:00,34951,449,2/28/2017
3/1/2017 0:00,34112,449,3/1/2017
3/2/2017 0:00,33415,449,3/2/2017
3/3/2017 0:00,37172,449,3/3/2017
3/4/2017 0:00,45103,449,3/4/2017
3/5/2017 0:00,41238,449,3/5/2017
3/6/2017 0:00,29423,449,3/6/2017
3/7/2017 0:00,29255,449,3/7/2017
3/8/2017 0:00,30634,449,3/8/2017
3/9/2017 0:00,30430,449,3/9/2017
3/10/2017 0:00,38095,449,3/10/2017
3/11/2017 0:00,44651,449,3/11/2017
3/12/2017 0:00,40452,449,3/12/2017
3/13/2017 0:00,30873,449,3/13/2017
3/14/2017 0:00,32476,449,3/14/2017
3/15/2017 0:00,36149,449,3/15/2017
3/16/2017 0:00,32022,449,3/16/2017
3/17/2017 0:00,38519,449,3/17/2017
3/18/2017 0:00,46984,449,3/18/2017
3/19/2017 0:00,44089,449,3/19/2017
3/20/2017 0:00,30988,449,3/20/2017
3/21/2017 0:00,20325,449,3/21/2017
3/22/2017 0:00,15442,449,3/22/2017
3/23/2017 0:00,29319,449,3/23/2017
3/24/2017 0:00,37241,449,3/24/2017
3/25/2017 0:00,47655,449,3/25/2017
3/26/2017 0:00,45447,449,3/26/2017
3/27/2017 0:00,35486,449,3/27/2017
3/28/2017 0:00,31674,449,3/28/2017
3/29/2017 0:00,38388,449,3/29/2017
3/30/2017 0:00,35049,449,3/30/2017
3/31/2017 0:00,38028,449,3/31/2017
4/1/2017 0:00,46815,449,4/1/2017
4/2/2017 0:00,45794,449,4/2/2017
4/3/2017 0:00,36881,449,4/3/2017
4/4/2017 0:00,32982,449,4/4/2017
4/5/2017 0:00,35431,449,4/5/2017
4/6/2017 0:00,34701,449,4/6/2017
4/7/2017 0:00,38788,449,4/7/2017
