DateTime,Players,Final Price,DateTimeStr
1/1/2017 0:00,30547,604.5,01/01/17
1/2/2017 0:00,34504,1209,01/02/17
1/3/2017 0:00,30129,1209,01/03/17
1/4/2017 0:00,28738,1209,01/04/17
1/5/2017 0:00,28180,1209,01/05/17
1/6/2017 0:00,30472,1209,01/06/17
1/7/2017 0:00,33358,1209,01/07/17
1/8/2017 0:00,31922,1209,01/08/17
1/9/2017 0:00,25360,1209,01/09/17
1/10/2017 0:00,24998,1209,01/10/17
1/11/2017 0:00,24388,1209,01/11/17
1/12/2017 0:00,24502,1209,01/12/17
1/13/2017 0:00,27802,1209,01/13/17
1/14/2017 0:00,31686,1209,01/14/17
1/15/2017 0:00,31564,1209,01/15/17
1/16/2017 0:00,28007,1209,01/16/17
1/17/2017 0:00,25030,1209,01/17/17
1/18/2017 0:00,25516,1209,01/18/17
1/19/2017 0:00,24352,1209,01/19/17
1/20/2017 0:00,26784,1209,01/20/17
1/21/2017 0:00,30426,1209,01/21/17
1/22/2017 0:00,30774,1209,01/22/17
1/23/2017 0:00,24019,1209,01/23/17
1/24/2017 0:00,23687,1209,01/24/17
1/25/2017 0:00,23785,1209,01/25/17
1/26/2017 0:00,23197,1209,01/26/17
1/27/2017 0:00,25771,1209,01/27/17
1/28/2017 0:00,29299,1209,01/28/17
1/29/2017 0:00,30507,1209,01/29/17
1/30/2017 0:00,24139,1209,01/30/17
1/31/2017 0:00,23790,1209,01/31/17
2/1/2017 0:00,23820,1209,02/01/17
2/2/2017 0:00,27697,604.5,02/02/17
2/3/2017 0:00,42394,604.5,02/03/17
2/4/2017 0:00,59199,604.5,02/04/17
2/5/2017 0:00,65010,604.5,02/05/17
2/6/2017 0:00,41778,1209,02/06/17
2/7/2017 0:00,46259,1209,02/07/17
2/8/2017 0:00,52115,1209,02/08/17
2/9/2017 0:00,43122,1209,02/09/17
2/10/2017 0:00,48865,1209,02/10/17
2/11/2017 0:00,54908,1209,02/11/17
2/12/2017 0:00,52661,1209,02/12/17
2/13/2017 0:00,39276,1209,02/13/17
2/14/2017 0:00,37869,1209,02/14/17
2/15/2017 0:00,38708,1209,02/15/17
2/16/2017 0:00,36699,1209,02/16/17
2/17/2017 0:00,41646,1209,02/17/17
2/18/2017 0:00,48737,1209,02/18/17
2/19/2017 0:00,44002,1209,02/19/17
2/20/2017 0:00,36401,1209,02/20/17
2/21/2017 0:00,35515,1209,02/21/17
2/22/2017 0:00,35279,449,02/22/17
2/23/2017 0:00,32482,449,02/23/17
2/24/2017 0:00,36744,449,02/24/17
2/25/2017 0:00,44197,449,02/25/17
2/26/2017 0:00,43672,449,02/26/17
2/27/2017 0:00,35329,449,02/27/17
2/28/2017 0:00,34951,449,02/28/17
3/1/2017 0:00,34112,449,03/01/17
3/2/2017 0:00,33415,449,03/02/17
3/3/2017 0:00,37172,449,03/03/17
3/4/2017 0:00,45103,449,03/04/17
3/5/2017 0:00,41238,449,03/05/17
3/6/2017 0:00,29423,449,03/06/17
3/7/2017 0:00,29255,449,03/07/17
3/8/2017 0:00,30634,449,03/08/17
3/9/2017 0:00,30430,449,03/09/17
3/10/2017 0:00,38095,449,03/10/17
3/11/2017 0:00,44651,449,03/11/17
3/12/2017 0:00,40452,449,03/12/17
3/13/2017 0:00,30873,449,03/13/17
3/14/2017 0:00,32476,449,03/14/17
3/15/2017 0:00,36149,449,03/15/17
3/16/2017 0:00,32022,449,03/16/17
3/17/2017 0:00,38519,449,03/17/17
3/18/2017 0:00,46984,449,03/18/17
3/19/2017 0:00,44089,449,03/19/17
3/20/2017 0:00,30988,449,03/20/17
3/21/2017 0:00,20325,449,03/21/17
3/22/2017 0:00,15442,449,03/22/17
3/23/2017 0:00,29319,449,03/23/17
3/24/2017 0:00,37241,449,03/24/17
3/25/2017 0:00,47655,449,03/25/17
3/26/2017 0:00,45447,449,03/26/17
3/27/2017 0:00,35486,449,03/27/17
3/28/2017 0:00,31674,449,03/28/17
3/29/2017 0:00,38388,449,03/29/17
3/30/2017 0:00,35049,449,03/30/17
3/31/2017 0:00,38028,449,03/31/17
4/1/2017 0:00,46815,449,04/01/17
4/2/2017 0:00,45794,449,04/02/17
4/3/2017 0:00,36881,449,04/03/17
4/4/2017 0:00,32982,449,04/04/17
4/5/2017 0:00,35431,449,04/05/17
4/6/2017 0:00,34701,449,04/06/17
4/7/2017 0:00,38788,449,04/07/17
4/8/2017 0:00,45283,449,04/08/17
4/9/2017 0:00,40663,449,04/09/17
4/10/2017 0:00,31869,449,04/10/17
4/11/2017 0:00,33368,449,04/11/17
4/12/2017 0:00,31830,449,04/12/17
4/13/2017 0:00,33275,449,04/13/17
4/14/2017 0:00,41249,449,04/14/17
4/15/2017 0:00,41408,449,04/15/17
4/16/2017 0:00,35431,449,04/16/17
4/17/2017 0:00,33931,449,04/17/17
4/18/2017 0:00,30520,449,04/18/17
4/19/2017 0:00,31243,449,04/19/17
4/20/2017 0:00,34123,449,04/20/17
4/21/2017 0:00,41322,449,04/21/17
4/22/2017 0:00,43843,449,04/22/17
4/23/2017 0:00,41425,449,04/23/17
4/24/2017 0:00,32632,449,04/24/17
4/25/2017 0:00,31724,449,04/25/17
4/26/2017 0:00,31812,449,04/26/17
4/27/2017 0:00,27318,449,04/27/17
4/28/2017 0:00,38046,449,04/28/17
4/29/2017 0:00,40762,449,04/29/17
4/30/2017 0:00,39098,449,04/30/17
5/1/2017 0:00,34663,449,05/01/17
5/2/2017 0:00,29560,449,05/02/17
5/3/2017 0:00,32770,449,05/03/17
5/4/2017 0:00,31659,449,05/04/17
5/5/2017 0:00,36446,449,05/05/17
5/6/2017 0:00,41734,449,05/06/17
5/7/2017 0:00,38679,449,05/07/17
5/8/2017 0:00,32644,449,05/08/17
5/9/2017 0:00,32496,449,05/09/17
5/10/2017 0:00,32427,449,05/10/17
5/11/2017 0:00,31080,449,05/11/17
5/12/2017 0:00,38553,449,05/12/17
5/13/2017 0:00,42961,449,05/13/17
5/14/2017 0:00,39438,449,05/14/17
5/15/2017 0:00,30307,449,05/15/17
5/16/2017 0:00,31276,449,05/16/17
5/17/2017 0:00,28084,449,05/17/17
5/18/2017 0:00,31227,449,05/18/17
5/19/2017 0:00,38575,449,05/19/17
5/20/2017 0:00,44112,449,05/20/17
5/21/2017 0:00,41247,449,05/21/17
5/22/2017 0:00,34149,449,05/22/17
5/23/2017 0:00,35380,449,05/23/17
5/24/2017 0:00,33858,449,05/24/17
5/25/2017 0:00,37099,449,05/25/17
5/26/2017 0:00,36806,449,05/26/17
5/27/2017 0:00,42580,449,05/27/17
5/28/2017 0:00,41757,449,05/28/17
5/29/2017 0:00,37841,449,05/29/17
